UMLS CUI,node name,node type,synonyms
C0042523,verapamil,Treatment,
C5200981,alcohol detoxification,EntryPoint,
C0236663,alcohol withdrawal syndrome,Disease,
C0023890,liver cirrhosis,Finding,
C0024002,lorazepam,Treatment,
C3155173,phase II metabolism,Treatment,
C0008188,chlordiazepoxide,Treatment,
C0001956,alcohol use disorder,RiskFactor,
C0040822,tremor,Finding,
C0700590,increased sweating,Finding,diaphoresis
C0003962,ascites,Finding,
C0033774,pruritis,Finding,
C0699828,serotonin syndrome,Disease,
C0019196,Hepatitis C,Disease,
C0017662,"Glomerulonephritis, Membranoproliferative",Disease,"MPGN, membranoproliferative glomerulonephritis"
C0582103,medical examination,EntryPoint,check up
C0201411,complement assay,Test,
C2064686,treat underlying etiology,Treatment,
C0280274,antiviral therapy,Treatment,
C0018965,hematuria,Finding,
C0013604,edema,Finding,
C0497247,increase in blood pressure,Finding,
C0085413,"Polycystic Kidney, Autosomal Dominant",Disease,
C2173715,ultrasound of kidney: multiple cysts of both kidneys,Finding,
C0022671,kidney transplantation,Treatment,renal transplant
C0022658,kidney diseases,Disease,renal disease
C0016199,flank pain,Finding,
C0237963,Poisoning caused by acetaminophen,Disease,
C0085605,liver failure,EntryPoint,
C0438717,transaminases increased,Finding,
C1254636,serum acetaminophen test,Test,
C0001047,acetylcysteine,Treatment,n-acetylcysteine
C0023911,transplantation of liver,Treatment,liver transplant
C0853225,INR increased,Finding,"INR elevation, elevated INR"
C0020615,hypoglycemia,Finding,
C0019209,hepatomegaly,Finding,
